title,tom,aud,tom_ave_rating,tom_num_reviews,tom_fresh,tom_rotten,aud_ave_rating,aud_num_ratings,age_rating,genre,director,writers,rel_date,box,runtime,studio,link
The Snowman,8,18,3.1,168,13,155,2.1,11024,R,"['Drama', 'Mystery & Suspense']",Tomas Alfredson,"['Hossein Amini, Peter Straughan']","Oct 20, 2017",6658715.0,,Universal Studios,https://www.rottentomatoes.com/m/the_snowman_2017
Transformers: The Last Knight,15,44,3.3,213,33,180,3.0,39107,PG-13,"['Action & Adventure', 'Drama', 'Science Fiction & Fantasy']",Michael Bay,"['Ken Nolan, Matt Holloway, Art Marcum']","Jun 21, 2017",130104634.0,,Paramount Pictures,https://www.rottentomatoes.com/m/transformers_the_last_knight_2017
"I, Tonya",90,88,7.8,325,291,34,4.0,11179,R,['Drama'],Craig Gillespie,['Steven Rogers'],"Jan 19, 2018",28950158.0,119.0,NEON,https://www.rottentomatoes.com/m/i_tonya_2017
The Lodgers,55,53,5.7,38,21,17,3.4,200,R,['Horror'],Brian O'Malley,['David Turpin'],"Feb 23, 2018",,92.0,Epic Pictures,https://www.rottentomatoes.com/m/the_lodgers
First Reformed,92,68,8.3,186,172,14,3.5,2136,R,['Drama'],Paul Schrader,['Paul Schrader'],"May 18, 2018",,108.0,A24,https://www.rottentomatoes.com/m/first_reformed
A Prayer Before Dawn,94,81,7.5,51,48,3,3.9,1027,R,"['Action & Adventure', 'Art House & International']",Jean-Stéphane Sauvaire,"['Jonathan Hirschbein, Nick Saltrese']","Aug 10, 2018",,116.0,A24 and DIRECTV,https://www.rottentomatoes.com/m/a_prayer_before_dawn_2017
The Killing of a Sacred Deer,80,63,7.6,241,192,49,3.3,9306,R,['Drama'],Yorgos Lanthimos,"['Yorgos Lanthimos, Efthimis Filippou']","Oct 20, 2017",1955883.0,119.0,A24,https://www.rottentomatoes.com/m/the_killing_of_a_sacred_deer_2017
Atomic Blonde,78,64,6.5,296,230,66,3.5,33865,R,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",David Leitch,['Kurt Johnstad'],"Jul 28, 2017",51536935.0,115.0,Focus Features,https://www.rottentomatoes.com/m/atomic_blonde_2017
The Hitman's Bodyguard,41,67,5.2,195,79,116,3.7,26592,R,"['Action & Adventure', 'Comedy']",Patrick Hughes,"[""Tom O'Connor""]","Aug 18, 2017",75020039.0,111.0,Summit Entertainment,https://www.rottentomatoes.com/m/the_hitmans_bodyguard
Valerian and the City of a Thousand Planets,48,53,5.5,255,123,132,3.3,27144,PG-13,"['Action & Adventure', 'Drama', 'Science Fiction & Fantasy']",Luc Besson,['Luc Besson'],"Jul 21, 2017",40442321.0,137.0,EuropaCorp / STXfilms,https://www.rottentomatoes.com/m/valerian_and_the_city_of_a_thousand_planets
Only the Brave,87,91,7.0,142,123,19,4.3,12330,PG-13,"['Action & Adventure', 'Drama']",Joseph Kosinski,"['Ken Nolan, Eric Warren Singer']","Oct 20, 2017",18255680.0,,Columbia Pictures,https://www.rottentomatoes.com/m/only_the_brave_2017
American Made,86,78,7.0,240,207,33,3.8,25754,R,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",Doug Liman,['Gary Spinelli'],"Sep 29, 2017",51071805.0,115.0,Universal Pictures,https://www.rottentomatoes.com/m/american_made_2017
Logan Lucky,92,75,7.5,248,229,19,3.7,26858,PG-13,['Comedy'],Steven Soderbergh,['Rebecca Blunt'],"Aug 18, 2017",27696504.0,119.0,Fingerprint Releasing / Bleecker Street,https://www.rottentomatoes.com/m/logan_lucky
The Post,87,72,7.9,339,296,43,3.6,11409,PG-13,"['Drama', 'Mystery & Suspense']",Steven Spielberg,"['Liz Hannah, Josh Singer']","Jan 12, 2018",80369969.0,115.0,20th Century Fox,https://www.rottentomatoes.com/m/the_post
King Arthur: Legend Of The Sword,31,69,4.7,238,73,165,3.7,31199,PG-13,"['Action & Adventure', 'Drama']",Guy Ritchie,"['Joby Harold, Guy Ritchie, Lionel Wigram']","May 12, 2017",39037047.0,,Warner Bros. Pictures,https://www.rottentomatoes.com/m/king_arthur_legend_of_the_sword
Bright,26,84,3.7,96,25,71,4.2,18588,NR,['Drama'],David Ayer,['Max Landis'],"Dec 22, 2017",,,Netflix,https://www.rottentomatoes.com/m/bright_2017
The Fate of the Furious,66,72,6.1,268,178,90,3.8,43736,PG-13,"['Action & Adventure', 'Drama']",F. Gary Gray,['Chris Morgan'],"Apr 14, 2017",225697400.0,136.0,Universal Pictures,https://www.rottentomatoes.com/m/the_fate_of_the_furious
Home Again,33,45,4.8,127,42,85,3.1,8858,PG-13,['Comedy'],Hallie Meyers-Shyer,['Hallie Meyers-Shyer'],"Sep 8, 2017",26353346.0,,Open Road Films,https://www.rottentomatoes.com/m/home_again_2017
Fifty Shades Darker,11,48,3.3,179,19,160,3.0,27274,R,"['Drama', 'Romance']",James Foley,['Niall Leonard'],"Feb 10, 2017",114376885.0,115.0,Universal Pictures,https://www.rottentomatoes.com/m/fifty_shades_darker
The Endless,95,66,7.7,100,95,5,3.5,2385,NR,"['Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy']","Justin Benson, Aaron Moorhead",['Justin Benson'],"Apr 6, 2018",,112.0,Well Go USA Entertainment,https://www.rottentomatoes.com/m/the_endless_2017
The Bookshop,55,45,5.3,84,46,38,3.0,267,PG,['Drama'],Isabel Coixet,['Isabel Coixet'],"Aug 24, 2018",,113.0,Greenwich Entertainment,https://www.rottentomatoes.com/m/the_bookshop
Kong: Skull Island,75,69,6.5,335,251,84,3.6,53357,PG-13,"['Action & Adventure', 'Mystery & Suspense', 'Science Fiction & Fantasy']",Jordan Vogt-Roberts,"['Dan Gilroy, Max Borenstein, Derek Connolly']","Mar 10, 2017",167986460.0,118.0,Warner Bros. Pictures/Legendary Pictures,https://www.rottentomatoes.com/m/kong_skull_island
Shot Caller,64,80,5.7,42,27,15,3.9,3487,R,"['Action & Adventure', 'Drama']",Ric Roman Waugh,['Ric Roman Waugh'],"Aug 18, 2017",,121.0,Saban Films,https://www.rottentomatoes.com/m/shot_caller
Jigsaw,36,90,4.8,76,27,49,4.6,28990,R,"['Drama', 'Horror']","Michael Spierig, Peter Spierig","['Josh Stolberg, Peter Goldfinger']","Oct 27, 2017",36462005.0,91.0,Lionsgate,https://www.rottentomatoes.com/m/jigsaw_2017
American Assassin,35,61,4.8,151,53,98,3.5,18113,R,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",Michael Cuesta,"['Stephen Schiff, Michael Finch, Edward Zwick, Marshall Herskovitz']","Sep 15, 2017",34449582.0,,Lionsgate and CBS Films,https://www.rottentomatoes.com/m/american_assassin_2017
Phantom Thread,91,69,8.5,289,263,26,3.6,7030,R,['Drama'],Paul Thomas Anderson,['Paul Thomas Anderson'],"Jan 19, 2018",947190.0,130.0,Focus Features,https://www.rottentomatoes.com/m/phantom_thread
The Last Movie Star,48,73,6.0,21,10,11,4.0,306,R,['Drama'],Adam Rifkin,['Adam Rifkin'],"Mar 30, 2018",,94.0,A24 and DIRECTV,https://www.rottentomatoes.com/m/dog_years_2017
Ghost in the Shell,43,51,5.5,258,111,147,3.3,39523,PG-13,"['Action & Adventure', 'Drama', 'Science Fiction & Fantasy']",Rupert Sanders,"['Jonathan Herman, Jamie Moss']","Mar 31, 2017",40533014.0,106.0,Paramount Pictures,https://www.rottentomatoes.com/m/ghost_in_the_shell_2017
All the Money in the World,78,67,7.0,214,166,48,3.5,6203,R,"['Drama', 'Mystery & Suspense']",Ridley Scott,['David Scarpa'],"Dec 25, 2017",20153135.0,,TriStar Pictures,https://www.rottentomatoes.com/m/all_the_money_in_the_world_2017
